,Initial Solution,Moves,OFIS,OFFS,OF_Diff,Improvement,Label
513,D0 C50 C61 D0 D0 C81 C73 S20 S20 C82 C85 C91 C90 D0 D0 C21 C26 C18 C15 C16 S7 D0 D0 C6 C2 D0 D0 C9 S3 D0 D0 C25 C24 C39 S12 C32 D0 D0 C94 S4 C97 C100 D0 D0 C65 C58 S16 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, ProbabilisticWorstRemovalCustomer, GreedyRepairCustomer",10467.45827,10458.15825,9.300017739,Little,2
538,D0 C61 C81 C73 S20 C82 C85 C91 C90 D0 D0 C26 C18 C15 C16 S7 D0 D0 C9 C6 C2 D0 D0 C21 C25 C24 C39 S12 C32 C50 D0 D0 C94 S4 C97 C100 D0 D0 C65 C58 S16 D0,"RandomDestroyStation, DeterministicBestRepairStation, ZoneDestroyCustomer, GreedyRepairCustomer",9234.650143,8010.679241,1223.970903,Lot,4
613,D0 C65 C61 D0 D0 C50 D0 D0 C6 C2 D0 D0 C90 C85 D0 D0 C18 S11 D0 D0 C81 S20 D0 D0 C15 C16 S7 D0 D0 C91 D0 D0 C9 S7 D0 D0 C100 C97 S3 D0 D0 C21 C26 C25 C39 S12 C32 D0 D0 C94 S4 D0 D0 C24 C58 S16 D0 D0 C73 S2 S20 C82 D0,"RandomDestroyStation, DeterministicBestRepairStation, ProbabilisticWorstRemovalCustomer, GreedyRepairCustomer",17518.52414,17385.23775,133.2863888,Lot,4
653,D0 C6 C2 D0 D0 C65 C50 S11 D0 D0 C81 C73 S20 C82 C85 C91 C90 D0 D0 C26 C18 C15 C16 S7 D0 D0 C9 S7 D0 D0 C21 C25 C39 S12 C32 C24 D0 D0 C94 S4 C97 C100 D0 D0 C61 S16 C58 D0 D0 S2 S20 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, TimeBasedDestroyCustomer, GreedyRepairCustomer",11454.29914,10224.71476,1229.584378,Lot,4
788,D0 C21 C25 D0 D0 C91 C6 D0 D0 C9 C2 D0 D0 C24 C32 S11 C50 D0 D0 C90 C85 C82 S20 C81 D0 D0 C26 C39 S10 C15 S7 D0 D0 C18 C16 S7 D0 D0 C100 C97 S3 D0 D0 C94 S4 D0 D0 C58 S16 C61 D0 D0 C73 S20 C65 D0,"RandomDestroyStation, DeterministicBestRepairStation, WorstTimeDestroyCustomer, GreedyRepairCustomer",15034.03064,13804.48299,1229.547654,Lot,4
833,D0 C9 C6 D0 D0 C21 C25 C24 C39 C32 S11 C50 D0 D0 C90 C91 C85 C82 S20 C81 D0 D0 C26 D0 D0 C18 C15 C16 S7 D0 D0 C94 S4 C97 C100 C2 D0 D0 C58 S16 C61 D0 D0 C73 S20 C65 D0,"RandomDestroyStation, DeterministicBestRepairStation, ShawDestroyCustomer, GreedyRepairCustomer",10124.5434,10107.04325,17.50014536,Medium,3
1072,D0 C24 C50 D0 D0 C26 C25 C21 D0 D0 C6 C91 D0 D0 C9 C2 D0 D0 C90 C85 D0 D0 C32 S11 C61 D0 D0 C82 C81 S20 D0 D0 C100 S3 D0 D0 C18 C15 C16 S7 D0 D0 C97 S3 D0 D0 C39 S12 D0 D0 C94 S4 D0 D0 C58 S16 C65 D0 D0 C73 S20 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, RandomRouteDestroyCustomer, GreedyRepairCustomer",20999.98781,17712.21593,3287.771877,Lot,4
1087,D0 C21 C25 D0 D0 C26 D0 D0 C9 C6 D0 D0 C85 C90 D0 D0 C32 S11 C50 D0 D0 C81 S20 D0 D0 C91 S3 C2 D0 D0 C18 C15 C16 S7 D0 D0 C100 C97 S3 D0 D0 C24 C39 S12 D0 D0 C94 S4 D0 D0 C58 S16 C61 C65 D0 D0 C73 C82 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, ProximityBasedDestroyCustomer, GreedyRepairCustomer",16188.19964,16186.08162,2.11802036,Little,2
1097,D0 C25 C21 D0 D0 C6 C9 D0 D0 C85 C90 D0 D0 C32 S11 C50 D0 D0 C91 S20 C81 D0 D0 C26 C18 C15 C16 S7 D0 D0 C2 C100 C97 S3 D0 D0 C24 C39 S12 D0 D0 C94 S4 D0 D0 C58 S16 C61 C65 D0 D0 C73 S1 C82 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, ZoneDestroyCustomer, GreedyRepairCustomer",14974.21717,13993.50183,980.7153414,Lot,4
1157,D0 C61 D0 D0 C24 C50 D0 D0 C25 C21 D0 D0 C9 D0 D0 C90 C85 C91 D0 D0 C6 C26 D0 D0 C82 C81 S20 D0 D0 C18 C15 S7 D0 D0 C100 S3 D0 D0 S3 C16 S7 D0 D0 C97 S3 D0 D0 C2 S4 C94 D0 D0 C39 C32 C58 S16 D0 D0 C73 S20 C65 D0,"RandomDestroyStation, DeterministicBestRepairStation, GreedyDestroyCustomer, GreedyRepairCustomer",17662.65687,17372.53084,290.1260372,Lot,4
1167,D0 C61 D0 D0 C50 D0 D0 C25 C21 D0 D0 C6 C9 D0 D0 C90 C91 C85 C82 C81 S20 D0 D0 C26 C18 C15 S7 D0 D0 S3 C16 S7 D0 D0 C97 S3 D0 D0 C2 C100 S4 C94 D0 D0 C24 C39 C32 S14 C58 S16 D0 D0 C73 S20 C65 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, ProximityBasedDestroyCustomer, GreedyRepairCustomer",14928.94087,13696.81827,1232.122597,Lot,4
1177,D0 C50 D0 D0 C21 C25 D0 D0 C9 C6 D0 D0 C90 C85 C82 S20 C81 D0 D0 C26 C18 C15 S7 D0 D0 C91 C16 S7 D0 D0 C2 C100 S3 D0 D0 C97 S4 C94 D0 D0 C24 C39 C32 S14 C58 S16 C61 D0 D0 C73 S20 C65 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, RandomRouteDestroyCustomer, GreedyRepairCustomer",12475.08572,12473.4306,1.655114694,Zero,1
1266,D0 C65 C61 C58 S14 C50 D0 D0 C81 C73 S1 C82 C85 C91 C90 D0 D0 C26 C18 C15 C16 S7 D0 D0 C6 C9 S7 D0 D0 C2 C100 C97 S3 D0 D0 C21 C25 C39 S12 C32 C24 D0 D0 C94 S4 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, WorstDistanceDestroyCustomer, GreedyRepairCustomer",9214.219679,9207.341055,6.878624302,Little,2
1580,D0 C50 S11 D0 D0 C90 C85 C82 S20 C81 D0 D0 C26 C18 C15 C16 S7 D0 D0 C2 C91 D0 D0 C6 C9 S7 D0 D0 C100 S3 D0 D0 C21 C25 C39 S12 C32 C24 D0 D0 C94 S4 C97 D0 D0 C61 S16 C58 D0 D0 C73 S20 C65 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, DemandBasedDestroyCustomer, GreedyRepairCustomer",12543.39006,12537.36096,6.02910015,Little,2
1720,D0 C50 D0 D0 C6 C91 D0 D0 C9 D0 D0 C2 C21 D0 D0 C85 C90 D0 D0 S3 C26 C24 D0 D0 C82 C81 S20 D0 D0 C61 C15 S7 D0 D0 C100 S3 D0 D0 C18 C16 S7 D0 D0 C65 C94 C97 S3 D0 D0 C25 C39 S12 C32 D0 D0 C58 S16 D0 D0 C73 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, RandomRouteDestroyCustomer, GreedyRepairCustomer",17828.83921,17807.35198,21.48723058,Medium,3
1980,D0 C43 C47 D0 D0 C42 C67 D0 D0 C10 D0 D0 C8 D0 D0 C5 D0 D0 C45 C48 C50 D0 D0 C64 C61 C63 D0 D0 C91 C89 C88 C84 C83 S1 D0 D0 C75 C100 S3 D0 D0 C9 C20 D0 D0 C65 C31 C33 C36 S9 C27 C25 C21 D0 D0 C13 C17 C18 C19 S7 C11 D0 D0 C7 C6 S3 D0 D0 C98 C93 S4 C97 D0 D0 C56 C53 S11 S15 C68 D0 D0 C54 S16 C69 D0 D0 C81 C78 C73 S20 D0 D0 C72 S20 D0 D0 C32 C77 S19 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, RandomRouteDestroyCustomer, GreedyRepairCustomer",24904.63691,23693.96829,1210.66862,Lot,4
2735,D0 C69 C13 S7 D0 D0 C75 C5 D0 D0 C8 D0 D0 C27 C6 C7 D0 D0 C43 C50 D0 D0 C10 C11 C25 D0 D0 C9 D0 D0 C64 C63 C65 C67 D0 D0 C54 S16 C68 D0 D0 C89 C84 C83 D0 D0 C48 C42 D0 D0 C100 S3 D0 D0 C36 C20 D0 D0 C32 C33 C18 S7 C19 S7 D0 D0 C31 C21 D0 D0 C53 C56 C45 C47 C17 S7 D0 D0 C97 S3 D0 D0 C98 C93 S4 D0 D0 C91 C88 C72 S16 C61 D0 D0 C81 S20 D0 D0 C78 S20 D0 D0 C73 C77 S19 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, DemandBasedDestroyCustomer, GreedyRepairCustomer",27219.56526,27223.00503,-3.439768977,Negative,0
2750,D0 C13 D0 D0 C5 D0 D0 C27 C8 C9 C6 C7 D0 D0 C10 C11 C25 C21 D0 D0 C69 C64 C63 C65 C67 D0 D0 C42 C54 S16 C68 D0 D0 C84 C83 D0 D0 C47 C43 D0 D0 C75 C100 S3 D0 D0 C36 C20 D0 D0 C31 C32 C33 S9 S7 S7 D0 D0 C89 D0 D0 C53 C56 C45 C48 C50 C18 C17 C19 S7 D0 D0 C97 S3 D0 D0 C98 C93 S4 D0 D0 C91 C88 C72 S16 C61 D0 D0 C81 S20 D0 D0 C78 S20 D0 D0 C73 C77 S19 D0,"RandomDestroyStation, DeterministicBestRepairStation, ProbabilisticWorstRemovalCustomer, GreedyRepairCustomer",23547.58929,23546.02561,1.563677004,Zero,1
2980,D0 C25 C30 C29 D0 D0 C43 C52 D0 D0 C75 C4 C3 D0 D0 C7 C65 D0 D0 C5 D0 D0 C49 D0 D0 C27 C36 C37 S10 D0 D0 C10 C11 C28 D0 D0 C50 C47 D0 D0 C62 C67 D0 D0 C41 C46 D0 D0 C8 D0 D0 C48 C44 D0 D0 C55 D0 D0 C40 C51 C31 S11 D0 D0 C57 C68 D0 D0 C90 C89 D0 D0 C24 C45 D0 D0 C87 C88 D0 D0 C85 C98 S3 D0 D0 C94 S4 C84 D0 D0 C17 C18 C15 S7 D0 D0 C33 C35 S11 D0 D0 C99 C2 C1 D0 D0 C59 C54 S16 D0 D0 C6 S1 C79 S19 D0 D0 C96 C100 S3 D0 D0 C42 C12 S7 D0 D0 C34 C19 S7 D0 D0 C74 S12 C20 D0 D0 C9 C14 C16 S7 C13 C21 D0 D0 C39 S12 D0 D0 C91 C97 S3 D0 D0 C38 S12 D0 D0 C93 S4 C95 D0 D0 C92 S4 D0 D0 C22 S16 C69 D0 D0 C32 C60 C58 C56 S16 D0 D0 C53 S16 D0 D0 C86 C72 C61 C64 S14 D0 D0 C81 S20 D0 D0 C80 S18 D0 D0 C77 S19 D0 D0 C78 C76 S20 D0 D0 C63 C73 C71 S20 D0 D0 C26 C23 C83 C82 S20 D0 D0 C70 S20 C66 D0,"RandomDestroyStation, DeterministicBestRepairStation, WorstTimeDestroyCustomer, GreedyRepairCustomer",58240.86885,58232.94836,7.920493625,Little,2
3065,D0 C22 C24 C20 D0 D0 C21 C26 D0 D0 C63 C66 D0 D0 C2 C65 D0 D0 C23 C30 C29 D0 D0 C25 C52 D0 D0 C9 C69 D0 D0 C75 C4 C3 D0 D0 C7 C8 D0 D0 C43 C49 D0 D0 C13 C10 D0 D0 C27 C34 S10 D0 D0 C28 C11 D0 D0 C47 C50 D0 D0 C62 C72 D0 D0 C6 C91 D0 D0 C42 C44 C48 D0 D0 C74 C61 C68 D0 D0 C40 C51 C32 C31 S11 D0 D0 C90 C89 D0 D0 C46 C45 D0 D0 C87 C88 D0 D0 C86 C95 S3 D0 D0 C85 D0 D0 C94 S4 C98 D0 D0 C17 C18 S7 D0 D0 C33 C35 S11 D0 D0 C5 C99 D0 D0 C59 C54 S16 D0 D0 C84 C83 C82 S19 D0 D0 C96 C100 S3 D0 D0 C19 C15 S7 D0 D0 C37 S12 C41 D0 D0 C14 C16 S7 D0 D0 C36 C39 S12 D0 D0 C12 S5 C97 S3 D0 D0 C38 S12 D0 D0 C1 C93 S4 D0 D0 C92 S4 D0 D0 C57 C56 S16 C67 D0 D0 C58 C53 S16 D0 D0 C55 S16 D0 D0 C64 C60 S14 D0 D0 C81 S20 D0 D0 C80 S18 D0 D0 C71 C70 C73 C77 C79 S19 D0 D0 C78 C76 S20 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, TimeBasedDestroyCustomer, GreedyRepairCustomer",59075.57381,59062.79061,12.78320349,Medium,3
3075,D0 C28 C24 C20 D0 D0 C21 C26 D0 D0 C63 C66 D0 D0 C2 C75 C65 D0 D0 C23 C30 C29 D0 D0 C25 C52 D0 D0 C9 C69 D0 D0 C8 D0 D0 C43 C49 D0 D0 C13 C10 D0 D0 C27 C34 S10 D0 D0 C22 C11 D0 D0 C50 C47 D0 D0 C62 C72 D0 D0 C7 C6 C4 C91 D0 D0 C42 C48 D0 D0 C74 C61 D0 D0 C40 C32 C31 S11 D0 D0 C90 C89 D0 D0 C46 C45 D0 D0 C88 C87 D0 D0 C86 C95 C96 S3 D0 D0 C85 D0 D0 C94 S4 C98 D0 D0 C17 C18 S7 D0 D0 C33 C35 S11 D0 D0 C5 C3 C99 D0 D0 C54 S16 C68 D0 D0 C84 C83 C82 S19 D0 D0 C100 S3 D0 D0 C19 C15 S7 D0 D0 C37 C51 S13 C41 D0 D0 C14 C16 S7 D0 D0 C36 C39 S12 D0 D0 C12 S5 C97 S3 D0 D0 C38 S12 D0 D0 C1 C93 S4 D0 D0 C92 S4 D0 D0 C57 C56 S16 C67 D0 D0 C59 C58 C53 S16 D0 D0 C55 S16 D0 D0 C64 C60 S14 C44 D0 D0 C81 S20 D0 D0 C80 S18 D0 D0 C71 C70 C73 C77 C79 S19 D0 D0 C78 C76 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, RandomRouteDestroyCustomer, GreedyRepairCustomer",59058.9218,57841.33335,1217.588453,Lot,4
3105,D0 C63 C66 D0 D0 C65 C62 D0 D0 C6 C23 C29 D0 D0 C25 C52 D0 D0 C61 C69 D0 D0 C75 C2 C4 D0 D0 C8 C7 D0 D0 C3 C98 D0 D0 C43 C49 D0 D0 C13 D0 D0 C27 C34 S10 D0 D0 C28 C11 C10 D0 D0 C42 C47 D0 D0 C72 D0 D0 C41 C46 D0 D0 C91 D0 D0 C44 C48 D0 D0 C74 C64 C55 S16 D0 D0 C9 D0 D0 C50 C32 C31 S11 D0 D0 C68 C57 D0 D0 C90 C89 D0 D0 C22 C45 D0 D0 C87 C88 D0 D0 C86 C95 S3 D0 D0 C85 D0 D0 C94 S4 C84 D0 D0 C78 S1 C83 D0 D0 C17 C15 S7 D0 D0 C33 C35 S11 D0 D0 C1 C99 D0 D0 C59 S16 D0 D0 C82 C79 S19 D0 D0 C96 C100 S3 D0 D0 C26 S7 D0 D0 C18 C19 S7 D0 D0 C37 S12 C20 D0 D0 C12 C14 C16 S7 D0 D0 C39 S12 D0 D0 C97 S3 C67 D0 D0 C38 S12 D0 D0 C24 C5 C93 S4 D0 D0 C92 S4 D0 D0 C30 C56 S16 D0 D0 C58 S16 D0 D0 C54 C53 S16 D0 D0 C60 C51 S14 C40 D0 D0 C81 S20 D0 D0 C80 S18 D0 D0 C77 S19 D0 D0 C76 S20 D0 D0 C21 C73 S20 D0 D0 C36 C71 S20 D0 D0 C70 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, ShawDestroyCustomer, GreedyRepairCustomer",66575.25445,66572.87902,2.375429344,Little,2
3165,D0 C66 C69 D0 D0 C62 C65 D0 D0 C6 C23 C29 C24 D0 D0 C75 C4 C5 D0 D0 C8 C7 D0 D0 C3 C2 C98 D0 D0 C43 C49 D0 D0 C13 D0 D0 C22 C25 C27 C34 S10 C30 C28 D0 D0 C42 C47 D0 D0 C61 C72 D0 D0 C41 C46 D0 D0 C44 C45 C48 D0 D0 C31 S11 C50 C52 D0 D0 C57 C68 D0 D0 C90 C89 D0 D0 C9 S3 D0 D0 C94 S4 C85 C88 C91 D0 D0 S1 C83 C84 C21 D0 D0 C17 C15 S7 D0 D0 C32 C35 S11 D0 D0 C1 C99 D0 D0 C87 C86 C82 C71 C70 S20 C73 C79 S19 D0 D0 C96 C100 S3 D0 D0 C26 S7 D0 D0 C18 C19 S7 D0 D0 C37 S12 C20 D0 D0 C10 C11 C12 C14 C16 S7 D0 D0 C36 C39 S12 C33 D0 D0 S3 C63 C67 D0 D0 C38 S12 D0 D0 C97 S4 C95 D0 D0 C92 S4 C93 D0 D0 C51 C53 S16 D0 D0 C59 C58 C56 S16 D0 D0 C55 C54 S16 D0 D0 C60 S14 C40 D0 D0 C81 S20 D0 D0 C80 S18 C74 D0 D0 C77 S19 D0 D0 C64 C78 C76 S20 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, ZoneDestroyCustomer, GreedyRepairCustomer",51878.59614,51878.61999,-0.023850001,Negative,0
3255,D0 C67 C66 D0 D0 C23 C26 D0 D0 C25 C1 D0 D0 C75 C4 C8 D0 D0 C5 C98 D0 D0 C49 D0 D0 C29 C34 S10 C30 D0 D0 C28 C7 D0 D0 C50 C47 D0 D0 C62 C43 D0 D0 C41 C46 D0 D0 C42 C48 D0 D0 C55 C69 D0 D0 C40 C44 C51 C31 S11 D0 D0 C68 C57 D0 D0 C90 C89 D0 D0 C45 C24 D0 D0 C91 C87 D0 D0 C86 C88 C96 S3 D0 D0 C84 C85 S4 C95 D0 D0 C65 C78 S20 D0 D0 C18 C17 S7 D0 D0 C32 C33 C35 S11 D0 D0 C3 C6 D0 D0 C59 C54 S16 D0 D0 C79 S19 C72 C61 D0 D0 C2 C100 C99 S3 D0 D0 C9 S7 D0 D0 C13 C19 C15 S7 D0 D0 C37 S12 C27 C21 D0 D0 C10 C11 C12 C16 C14 S7 D0 D0 C36 C39 S12 D0 D0 C38 S12 D0 D0 C93 S4 C97 D0 D0 C94 C92 S4 D0 D0 C73 S16 D0 D0 C60 C58 C56 S16 C64 C63 D0 D0 C20 C53 S16 D0 D0 S14 C52 C22 D0 D0 C81 S20 D0 D0 C80 S18 C74 D0 D0 C77 S19 D0 D0 C76 S20 D0 D0 C83 C82 S20 D0 D0 C70 C71 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, ZoneDestroyCustomer, GreedyRepairCustomer",55785.85713,55781.38748,4.469650952,Little,2
3260,D0 C67 C66 D0 D0 C23 C26 D0 D0 C25 C1 D0 D0 C75 C4 C8 D0 D0 C5 C98 D0 D0 C49 D0 D0 C24 C29 C34 S10 C30 D0 D0 C28 C7 D0 D0 C50 C47 D0 D0 C62 C43 D0 D0 C41 C46 D0 D0 C42 C48 D0 D0 C55 C69 D0 D0 C40 C44 C45 C51 C31 S11 D0 D0 C57 D0 D0 C90 C89 D0 D0 C91 C87 D0 D0 C86 C88 C96 S3 D0 D0 C85 S4 C95 D0 D0 C65 C78 S20 D0 D0 C18 C17 S7 D0 D0 C32 C33 C35 S11 D0 D0 C3 C6 D0 D0 C59 C54 S16 C68 D0 D0 C79 S19 C72 C61 D0 D0 C2 C100 C99 S3 D0 D0 C9 S7 D0 D0 C13 C19 C15 S7 D0 D0 C37 S12 C27 C21 D0 D0 C10 C11 C12 C16 C14 S7 D0 D0 C36 C39 S12 D0 D0 C38 S12 D0 D0 C93 S4 C97 D0 D0 C94 C92 S4 D0 D0 C73 S16 D0 D0 C60 C58 C56 S16 C64 C63 D0 D0 C20 C53 S16 D0 D0 C52 C22 D0 D0 C81 S20 D0 D0 C80 S18 C74 D0 D0 C77 S19 D0 D0 C76 S20 D0 D0 C84 C83 C82 S20 D0 D0 C70 C71 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, ProbabilisticWorstRemovalCustomer, GreedyRepairCustomer",54556.89017,54540.93509,15.95508022,Medium,3
3270,D0 C67 C66 D0 D0 C26 C23 D0 D0 C25 C1 D0 D0 C75 C4 C8 D0 D0 C5 C98 D0 D0 C49 D0 D0 C24 C29 C34 S10 C30 C21 D0 D0 C28 C7 D0 D0 C50 C47 D0 D0 C62 C43 D0 D0 C41 C46 D0 D0 C42 C48 D0 D0 C55 C69 D0 D0 C40 C44 C45 C51 C31 S11 D0 D0 C57 D0 D0 C90 C89 D0 D0 C91 C87 D0 D0 C86 C88 C96 S3 D0 D0 C85 S4 C95 D0 D0 C65 C78 S20 D0 D0 C18 C17 S7 D0 D0 C32 C33 C35 S11 D0 D0 C3 C6 D0 D0 C59 C54 S16 C68 D0 D0 C79 S19 C72 D0 D0 C2 C100 C99 S3 D0 D0 C9 S7 D0 D0 C13 C19 C15 S7 D0 D0 C37 S12 C27 D0 D0 C10 C11 C12 C14 C16 S7 D0 D0 C36 C39 S12 D0 D0 C38 S12 D0 D0 C93 S4 C97 D0 D0 C94 C92 S4 D0 D0 C73 S16 C64 D0 D0 C60 C58 C56 S16 C61 C63 D0 D0 C20 C53 S16 D0 D0 C52 C22 D0 D0 C81 S20 D0 D0 C80 S18 C74 D0 D0 C77 S19 D0 D0 C76 S20 D0 D0 C84 C83 C82 S20 D0 D0 C70 C71 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, ZoneDestroyCustomer, GreedyRepairCustomer",54540.40467,54540.0561,0.348569596,Zero,1
3350,D0 C21 C26 D0 D0 C66 C63 D0 D0 C65 C62 C69 D0 D0 C23 C29 C24 D0 D0 C49 C52 D0 D0 C75 C2 C4 D0 D0 C8 D0 D0 C3 C98 D0 D0 C27 C34 C36 S10 C30 D0 D0 C28 C25 D0 D0 C47 C50 D0 D0 C67 C72 C61 D0 D0 C41 C46 D0 D0 C91 C7 D0 D0 C42 C44 C45 C48 D0 D0 C55 D0 D0 C40 C51 S11 C32 D0 D0 C68 C57 D0 D0 C90 C89 D0 D0 C43 C20 D0 D0 C88 C87 D0 D0 C86 C95 S3 D0 D0 C85 D0 D0 C84 C94 S4 C97 D0 D0 C83 S20 D0 D0 C17 C18 C19 C15 S7 D0 D0 C31 C35 S11 D0 D0 C99 C1 D0 D0 C59 C54 S16 C64 D0 D0 C82 S19 D0 D0 C100 S3 D0 D0 C13 C12 S7 D0 D0 C22 S7 C9 C6 D0 D0 C37 S12 C33 D0 D0 C10 C11 C14 C16 S7 D0 D0 C39 S12 D0 D0 C5 S3 D0 D0 C38 S12 D0 D0 C96 C93 S4 D0 D0 C92 S4 D0 D0 C60 C56 C58 C53 S16 D0 D0 C81 S20 D0 D0 C80 S18 C74 D0 D0 C77 C79 S19 D0 D0 C78 C76 S20 D0 D0 C73 C71 S20 D0 D0 C70 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, ZoneDestroyCustomer, GreedyRepairCustomer",59363.83343,58139.87437,1223.959061,Lot,4
